state,time,total,solar,nuclear,wind,hydro,gas,biofuel,neighbour,power_diff,green_power,bought,sold,CO2_gen,sell_price,cost_to_make,margin
0,18:00,19902,0,10787,502,4890,3385,135,203,0,5527,250,47,45.92,0.134,0.02552,0.108
0,19:00,20040,0,10785,546,4803,3369,133,404,0,5482,500,96,41.23,0.134,0.02551,0.108
0,20:00,19215,0,10781,580,4476,3381,132,-135,0,4093,130,265,36.91,0.134,0.02472,0.109
2,21:00,18227.0,0.0,10889.0,623.0,4548.0,0,26.0,2141.0,0.0,5197.0,2141.0,0,645.5110000000001,6.5,0.07837345695945576,6.421626543040544
2,22:00,17228.0,0.0,10998.0,573.0,4181.0,0,26.0,1450.0,0.0,4780.0,1450.0,0,465.769,6.5,0.07533062456466218,6.424669375435338
2,23:00,16155.0,0.0,11108.0,559.0,4096.0,0,26.0,366.0,0.0,4681.0,366.0,0,186.23499999999999,6.5,0.06964586815227483,6.430354131847725
2,0:00,15970.0,0.0,11219.0,553.0,4038.0,0,27.0,133.0,0.0,4618.0,133.0,0,126.535,6.5,0.06834214151534126,6.431657858484659
2,1:00,15795.0,0.0,11331.0,712.0,3740.0,0,12.0,0,665.0,4464.0,0,665.0,92.898,6.5,0.0683732826843938,6.4316267173156065
2,2:00,15499.0,0.0,11218.0,795.0,3473.0,0,13.0,0,845.0,4281.0,0,845.0,92.28900000000002,6.5,0.06892205948770888,6.431077940512291
2,3:00,15597.0,0.0,11105.0,689.0,3791.0,0,12.0,0,1172.0,4492.0,0,1172.0,91.447,6.5,0.06824620119253702,6.431753798807463
2,4:00,15305.0,0.0,10994.0,561.0,3738.0,0,12.0,0,985.0,4311.0,0,985.0,88.905,6.5,0.06774537732767069,6.432254622672329
2,5:00,15043.0,0.0,10884.0,568.0,3578.0,0,13.0,0,605.0,4159.0,0,605.0,87.754,6.5,0.06789237519111879,6.432107624808881
2,6:00,15037.0,0.0,10776.0,559.0,3548.0,0,13.0,141.0,0.0,4120.0,141.0,0,123.24700000000001,6.5,0.06873804615282304,6.431261953847177
2,7:00,16399.0,0.0,10883.0,520.0,4102.0,0,21.0,873.0,0.0,4643.0,873.0,0,314.918,6.5,0.07228788340752484,6.427712116592475
2,8:00,17411.0,1.0,10992.0,518.0,4680.0,0,27.0,1193.0,-373.0,5226.0,1193.0,0,400.871,13.4,0.07340233185916949,13.326597668140831
2,9:00,17419.0,3.0,11102.0,515.0,4719.0,0,26.0,1054.0,-808.0,5263.0,1054.0,0,365.938,13.4,0.0726736896492336,13.327326310350767
2,10:00,17419.0,12.0,11213.0,484.0,4823.0,0,24.0,863.0,-1050.0,5343.0,863.0,0,318.168,13.4,0.07168970664217234,13.328310293357829
2,11:00,17763.0,17.0,11325.0,712.0,4912.0,0,24.0,773.0,-728.0,5665.0,773.0,0,299.46500000000003,6.5,0.07204757079322187,6.427952429206778
2,12:00,17771.0,32.0,11439.0,1067.0,4402.0,0,25.0,806.0,-559.0,5526.0,806.0,0,312.871,9.4,0.07418288222384785,9.325817117776152
2,13:00,18124.0,46.0,11553.0,1354.0,4347.0,0,26.0,798.0,-29.0,5773.0,798.0,0,316.53,9.4,0.07540702935334363,9.324592970646657
2,14:00,17522.0,67.0,11668.0,1302.0,4172.0,0,26.0,287.0,-495.0,5567.0,287.0,0,186.211,9.4,0.07339042346764069,9.32660957653236
2,15:00,17413.0,44.0,11785.0,1356.0,4017.0,0,26.0,185.0,-462.0,5443.0,185.0,0,158.26399999999998,9.4,0.0726392350542698,9.32736076494573
2,16:00,17989.0,23.0,11903.0,1281.0,4384.0,0,26.0,372.0,0.0,5714.0,372.0,0,205.506,9.4,0.07246950914447718,9.327530490855523
2,17:00,18697.0,2.0,12022.0,1189.0,4728.0,0,26.0,730.0,-199.0,5945.0,730.0,0,296.559,9.4,0.07307573407498529,9.326924265925015
2,18:00,19436.0,0.0,12142.0,1421.0,5018.0,0,27.0,828.0,-196.0,6466.0,828.0,0,326.587,13.4,0.07391911916032105,13.32608088083968
2,19:00,19235.0,0.0,12264.0,1806.0,5023.0,0,22.0,120.0,0.0,6851.0,120.0,0,149.39,13.4,0.07187642318689888,13.328123576813102
2,20:00,19231.0,0.0,12386.0,2281.0,4538.0,0,26.0,0,254.0,6845.0,0,254.0,123.629,6.5,0.07319915761010867,6.426800842389891
2,21:00,19187.0,0.0,12386.0,2567.0,4208.0,0,26.0,0,428.0,6801.0,0,428.0,126.027,6.5,0.07436915619951008,6.42563084380049
