state,time,total,solar,nuclear,wind,hydro,gas,biofuel,neighbour,power_diff,green_power,bought,sold,CO2_gen,sell_price,cost_to_make,margin
0,21:00,17915.00,5,10679,665,5000,1100,65,401.00,0.00,5735.00,450.00,49,45.92,0.065,0.02880,0.03620
0,22:00,16139.00,0,10678,670,5700,1100,65,-359.00,0.00,6435.00,332.00,691,41.23,0.065,0.02883,0.03617
0,23:00,14812.00,0,10633,698,4600,1100,50,-226.00,0.00,5348.00,313.00,539,36.91,0.065,0.02883,0.03617
2,0:00,16029.0,0.0,10739.0,740.0,4500.0,0,50.0,0,1217.0,5290.0,0,1217.0,94.95400000000001,6.5,0.06810917711647639,6.431890822883523
2,1:00,15757.0,0.0,10632.0,725.0,4350.0,0,50.0,0,1594.0,5125.0,0,1594.0,93.51700000000001,6.5,0.06815389985403313,6.431846100145967
2,2:00,15686.0,0.0,10526.0,760.0,4350.0,0,50.0,0,2300.0,5160.0,0,2300.0,93.33600000000001,6.5,0.06829963024352927,6.431700369756471
2,3:00,15863.0,0.0,10420.0,893.0,4500.0,0,50.0,0,2840.0,5443.0,0,2840.0,95.02900000000001,6.5,0.06873725020487928,6.4312627497951205
2,4:00,15753.0,0.0,10316.0,887.0,4500.0,0,50.0,0,2673.0,5437.0,0,2673.0,94.327,6.5,0.06871764108423792,6.431282358915762
2,5:00,15701.0,1.0,10213.0,972.0,4430.0,0,85.0,0,2408.0,5488.0,0,2408.0,96.66900000000001,6.5,0.06928768868224953,6.430712311317751
2,6:00,15105.0,5.0,10111.0,604.0,4300.0,0,85.0,0,1149.0,4994.0,0,1149.0,91.173,6.5,0.06795895398874545,6.432041046011254
2,7:00,15342.0,47.0,10010.0,450.0,4620.0,0,85.0,130.0,0.0,5202.0,130.0,0,127.79499999999999,9.4,0.06898787641767697,9.331012123582324
2,8:00,15441.0,122.0,10110.0,419.0,4700.0,0,90.0,0,99.0,5331.0,0,99.0,102.937,9.4,0.07004591671523865,9.329954083284761
2,9:00,16283.0,142.0,10211.0,367.0,4650.0,0,90.0,823.0,-324.0,5249.0,823.0,0,317.101,9.4,0.07492360130197138,9.325076398698029
2,10:00,16278.0,178.0,10313.0,320.0,4600.0,0,120.0,747.0,-1034.0,5218.0,747.0,0,302.81399999999996,9.4,0.07537179014620961,9.32462820985379
2,11:00,16171.0,182.0,10416.0,330.0,4555.0,0,125.0,563.0,-1842.0,5192.0,563.0,0,256.62,13.4,0.07456619875085028,13.325433801249151
2,12:00,15909.0,163.0,10520.0,323.0,4290.0,0,130.0,483.0,-2660.0,4906.0,483.0,0,233.748,13.4,0.07389289081651895,13.326107109183482
2,13:00,16081.0,185.0,10626.0,423.0,4200.0,0,155.0,492.0,-3001.0,4963.0,492.0,0,241.406,13.4,0.07501007400037311,13.324989925999628
2,14:00,16046.0,187.0,10732.0,386.0,4100.0,0,160.0,481.0,-3396.0,4833.0,481.0,0,238.82299999999998,13.4,0.07495207528355977,13.32504792471644
2,15:00,16188.0,191.0,10839.0,410.0,4105.0,0,170.0,473.0,-3564.0,4876.0,473.0,0,238.733,13.4,0.07507956510995799,13.324920434890043
2,16:00,16092.0,183.0,10948.0,413.0,3900.0,0,155.0,493.0,-4247.0,4651.0,493.0,0,242.05599999999998,13.4,0.07512434750186428,13.324875652498136
2,17:00,16422.0,153.0,11057.0,423.0,3900.0,0,155.0,734.0,-4294.0,4631.0,734.0,0,301.868,9.4,0.0756164291803678,9.324383570819633
2,18:00,16367.0,148.0,11168.0,328.0,3700.0,0,100.0,923.0,-4293.0,4276.0,923.0,0,345.546,9.4,0.07612366346917578,9.323876336530825
2,19:00,16318.0,112.0,11279.0,345.0,3650.0,0,100.0,832.0,-4053.0,4207.0,832.0,0,318.975,6.5,0.07482528496139233,6.425174715038608
2,20:00,16415.0,87.0,11392.0,352.0,3650.0,0,100.0,834.0,-3537.0,4189.0,834.0,0,317.635,6.5,0.07419488272921108,6.425805117270789
2,21:00,16468.0,30.0,11506.0,378.0,3600.0,0,100.0,854.0,-3188.0,4108.0,854.0,0,317.632,6.5,0.07299319893126063,6.42700680106874
2,22:00,16384.0,0.0,11621.0,364.0,3650.0,0,100.0,649.0,-2162.0,4114.0,649.0,0,262.3,6.5,0.0710223388671875,6.428977661132812
2,23:00,16380.0,0.0,11737.0,350.0,3700.0,0,100.0,493.0,-499.0,4150.0,493.0,0,222.766,6.5,0.07005775335775336,6.429942246642247
2,0:00,16042.0,0.0,11855.0,387.0,3700.0,0,100.0,0,316.0,4187.0,0,316.0,96.761,6.5,0.06742370028674728,6.4325762997132525
